comment_id,video_id,channel_title,platform,text_raw,text_clean,language_detected,like_count,reply_count,published_at,extracted_at,vader_compound,vader_pos,vader_neg,vader_label,transformer_label,transformer_score,ensemble_label,sentiment_confidence
cmt_00000,vid_0011,PolicyPulse,youtube,Merci de couvrir ces sujets importants.,merci de couvrir ces sujets importants.,en,117,2,2026-02-18 03:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00,0.0,0.0,0.0,neutral,,,neutral,0.0
cmt_00001,vid_0007,CiviqueMontréal,youtube,"Bonne vidéo, mais manque de sources.","bonne vidéo, mais manque de sources.",en,62,18,2026-01-03 07:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00,0.0,0.0,0.0,neutral,,,neutral,0.0
cmt_00002,vid_0016,CiviqueMontréal,youtube,"Très bon contenu, merci pour l'analyse!","très bon contenu, merci pour l'analyse!",en,110,17,2026-04-19 10:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00,0.0,0.0,0.0,neutral,,,neutral,0.0
cmt_00003,vid_0061,PolicyPulse,youtube,"Excellent travail, très équilibré.","excellent travail, très équilibré.",en,54,10,2025-12-07 22:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00,0.5719,0.552,0.0,positive,,,positive,0.5719
cmt_00004,vid_0025,PolicyPulse,youtube,Finally someone explaining this clearly. Subscribed!,finally someone explaining this clearly. subscribed!,en,12,18,2025-10-02 15:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00,0.5294,0.406,0.0,positive,,,positive,0.5294
cmt_00005,vid_0035,CiviqueMontréal,youtube,Finally someone explaining this clearly. Subscribed!,finally someone explaining this clearly. subscribed!,en,109,3,2025-08-09 15:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00,0.5294,0.406,0.0,positive,,,positive,0.5294
cmt_00006,vid_0075,CiviqueMontréal,youtube,"C'est n'importe quoi, aucune rigueur.","c'est n'importe quoi, aucune rigueur.",en,91,9,2026-03-30 10:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00,0.0,0.0,0.0,neutral,,,neutral,0.0
cmt_00007,vid_0030,PolicyPulse,youtube,"This is completely biased, I can't believe this.","this is completely biased, i can't believe this.",en,107,16,2026-03-07 20:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00,-0.3384,0.0,0.255,negative,,,negative,0.3384
cmt_00008,vid_0033,PolicyPulse,youtube,"This is completely biased, I can't believe this.","this is completely biased, i can't believe this.",en,131,12,2026-04-22 08:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00,-0.3384,0.0,0.255,negative,,,negative,0.3384
cmt_00009,vid_0009,PolicyPulse,youtube,"Interesting perspective, but I'd like to see more data.","interesting perspective, but i'd like to see more data.",en,102,10,2025-06-30 00:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00,0.6249,0.421,0.0,positive,,,positive,0.6249
cmt_00010,vid_0007,CiviqueMontréal,youtube,"Terrible take, you missed the entire point.","terrible take, you missed the entire point.",en,64,5,2026-01-03 21:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00,-0.6486,0.0,0.515,negative,,,negative,0.6486
