comment_id,video_id,channel_title,platform,text,like_count,reply_count,published_at,extracted_at
cmt_00000,vid_0011,PolicyPulse,youtube,Merci de couvrir ces sujets importants.,117,2,2026-02-18 03:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00001,vid_0007,CiviqueMontréal,youtube,"Bonne vidéo, mais manque de sources.",62,18,2026-01-03 07:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00002,vid_0016,CiviqueMontréal,youtube,"Très bon contenu, merci pour l'analyse!",110,17,2026-04-19 10:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00003,vid_0061,PolicyPulse,youtube,"Excellent travail, très équilibré.",54,10,2025-12-07 22:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00004,vid_0025,PolicyPulse,youtube,Finally someone explaining this clearly. Subscribed!,12,18,2025-10-02 15:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00005,vid_0035,CiviqueMontréal,youtube,Finally someone explaining this clearly. Subscribed!,109,3,2025-08-09 15:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00006,vid_0075,CiviqueMontréal,youtube,"C'est n'importe quoi, aucune rigueur.",91,9,2026-03-30 10:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00007,vid_0030,PolicyPulse,youtube,"This is completely biased, I can't believe this.",107,16,2026-03-07 20:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00008,vid_0033,PolicyPulse,youtube,"This is completely biased, I can't believe this.",131,12,2026-04-22 08:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00009,vid_0009,PolicyPulse,youtube,"Interesting perspective, but I'd like to see more data.",102,10,2025-06-30 00:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00010,vid_0007,CiviqueMontréal,youtube,"Terrible take, you missed the entire point.",64,5,2026-01-03 21:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00011,vid_0036,CiviqueMontréal,youtube,"Interesting perspective, but I'd like to see more data.",45,10,2026-02-04 18:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00012,vid_0059,PolicyPulse,youtube,"Excellent travail, très équilibré.",58,19,2026-01-16 03:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00013,vid_0070,CiviqueMontréal,youtube,"Excellent travail, très équilibré.",125,0,2025-11-23 07:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00014,vid_0053,PolicyPulse,youtube,"À voir, j'attends la suite.",20,13,2026-03-22 20:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00015,vid_0007,CiviqueMontréal,youtube,"C'est n'importe quoi, aucune rigueur.",4,4,2026-01-01 17:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00016,vid_0036,CiviqueMontréal,youtube,You clearly don't understand how policy works.,121,3,2026-02-02 01:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00017,vid_0072,CiviqueMontréal,youtube,"À voir, j'attends la suite.",5,0,2025-11-02 00:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00018,vid_0012,PolicyPulse,youtube,"Interesting perspective, but I'd like to see more data.",147,16,2026-01-21 21:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00019,vid_0019,PolicyPulse,youtube,You clearly don't understand how policy works.,8,13,2025-08-12 09:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00020,vid_0077,CiviqueMontréal,youtube,"C'est n'importe quoi, aucune rigueur.",126,13,2026-01-29 11:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00021,vid_0067,CiviqueMontréal,youtube,"I learned so much from this video, keep it up!",30,2,2025-10-16 08:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
cmt_00022,vid_0055,CiviqueMontréal,youtube,I wonder what the polling numbers say about this.,82,12,2025-12-14 06:00:51.508006+00:00,2026-04-30 00:00:51.508006+00:00
