video_id,channel_id,channel_title,platform,title,description,language,published_at,view_count,like_count,comment_count,duration_seconds,is_short,extracted_at
vid_0000,UC_policy_001,PolicyPulse,youtube,"Carbon Tax: Pros, Cons, and Myths [0]","In this video we discuss: carbon tax: pros, cons, and myths [0]",en,2025-09-03 00:00:51.508006+00:00,216791,12750,699,806,False,2026-04-30 00:00:51.508006+00:00
vid_0001,UC_civique_002,CiviqueMontréal,youtube,Comprendre la politique climatique canadienne [1],In this video we discuss: comprendre la politique climatique canadienne [1],fr,2025-05-09 00:00:51.508006+00:00,380689,24754,1395,1332,False,2026-04-30 00:00:51.508006+00:00
vid_0002,UC_civique_002,CiviqueMontréal,youtube,Élections 2025 : analyse des plateformes [2],In this video we discuss: élections 2025 : analyse des plateformes [2],fr,2025-10-29 00:00:51.508006+00:00,91683,5049,1163,686,False,2026-04-30 00:00:51.508006+00:00
vid_0003,UC_civique_002,CiviqueMontréal,youtube,Comprendre la politique climatique canadienne [3],In this video we discuss: comprendre la politique climatique canadienne [3],fr,2025-11-19 00:00:51.508006+00:00,114005,5565,322,827,False,2026-04-30 00:00:51.508006+00:00
vid_0004,UC_civique_002,CiviqueMontréal,youtube,Décryptage du système électoral [4],In this video we discuss: décryptage du système électoral [4],fr,2026-01-19 00:00:51.508006+00:00,83031,2890,1213,1148,False,2026-04-30 00:00:51.508006+00:00
vid_0005,UC_civique_002,CiviqueMontréal,youtube,Élections 2025 : analyse des plateformes [5],In this video we discuss: élections 2025 : analyse des plateformes [5],fr,2025-06-08 00:00:51.508006+00:00,389302,9197,3140,1229,False,2026-04-30 00:00:51.508006+00:00
vid_0006,UC_policy_001,PolicyPulse,youtube,Breaking Down the Federal Budget 2025 [6],In this video we discuss: breaking down the federal budget 2025 [6],en,2025-10-13 00:00:51.508006+00:00,371816,23102,5420,303,False,2026-04-30 00:00:51.508006+00:00
vid_0007,UC_civique_002,CiviqueMontréal,youtube,Élections 2025 : analyse des plateformes [7],In this video we discuss: élections 2025 : analyse des plateformes [7],fr,2026-01-01 00:00:51.508006+00:00,185544,7954,828,1632,False,2026-04-30 00:00:51.508006+00:00
vid_0008,UC_policy_001,PolicyPulse,youtube,Climate Policy: What Ottawa Got Wrong [8],In this video we discuss: climate policy: what ottawa got wrong [8],en,2025-08-23 00:00:51.508006+00:00,165433,9410,1271,871,False,2026-04-30 00:00:51.508006+00:00
vid_0009,UC_policy_001,PolicyPulse,youtube,Climate Policy: What Ottawa Got Wrong [9],In this video we discuss: climate policy: what ottawa got wrong [9],en,2025-06-30 00:00:51.508006+00:00,350282,11161,4490,1144,False,2026-04-30 00:00:51.508006+00:00
vid_0010,UC_policy_001,PolicyPulse,youtube,Why Young Canadians Are Disengaged From Politics [10],In this video we discuss: why young canadians are disengaged from politics [10],en,2025-06-27 00:00:51.508006+00:00,449094,25946,1714,715,False,2026-04-30 00:00:51.508006+00:00
vid_0011,UC_policy_001,PolicyPulse,youtube,Why Young Canadians Are Disengaged From Politics [11],In this video we discuss: why young canadians are disengaged from politics [11],en,2026-02-16 00:00:51.508006+00:00,4177,271,44,1454,False,2026-04-30 00:00:51.508006+00:00
vid_0012,UC_policy_001,PolicyPulse,youtube,"Carbon Tax: Pros, Cons, and Myths [12]","In this video we discuss: carbon tax: pros, cons, and myths [12]",en,2026-01-19 00:00:51.508006+00:00,278045,13849,1061,1411,False,2026-04-30 00:00:51.508006+00:00
vid_0013,UC_policy_001,PolicyPulse,youtube,Healthcare Reform Explained in 5 Minutes [13],In this video we discuss: healthcare reform explained in 5 minutes [13],en,2026-03-19 00:00:51.508006+00:00,334367,14370,3125,808,False,2026-04-30 00:00:51.508006+00:00
vid_0014,UC_policy_001,PolicyPulse,youtube,"Carbon Tax: Pros, Cons, and Myths [14]","In this video we discuss: carbon tax: pros, cons, and myths [14]",en,2025-10-02 00:00:51.508006+00:00,282903,13903,1683,1153,False,2026-04-30 00:00:51.508006+00:00
vid_0015,UC_civique_002,CiviqueMontréal,youtube,Jeunesse et engagement politique [15],In this video we discuss: jeunesse et engagement politique [15],fr,2026-04-18 00:00:51.508006+00:00,218640,5470,1598,645,False,2026-04-30 00:00:51.508006+00:00
vid_0016,UC_civique_002,CiviqueMontréal,youtube,Décryptage du système électoral [16],In this video we discuss: décryptage du système électoral [16],fr,2026-04-17 00:00:51.508006+00:00,410926,12203,2390,444,False,2026-04-30 00:00:51.508006+00:00
vid_0017,UC_policy_001,PolicyPulse,youtube,Understanding Indigenous Land Rights [17],In this video we discuss: understanding indigenous land rights [17],en,2025-09-01 00:00:51.508006+00:00,278737,18082,2964,253,False,2026-04-30 00:00:51.508006+00:00
vid_0018,UC_policy_001,PolicyPulse,youtube,Understanding Indigenous Land Rights [18],In this video we discuss: understanding indigenous land rights [18],en,2025-11-28 00:00:51.508006+00:00,160947,1865,510,1470,False,2026-04-30 00:00:51.508006+00:00
vid_0019,UC_policy_001,PolicyPulse,youtube,"Carbon Tax: Pros, Cons, and Myths [19]","In this video we discuss: carbon tax: pros, cons, and myths [19]",en,2025-08-10 00:00:51.508006+00:00,231207,4922,1968,1263,False,2026-04-30 00:00:51.508006+00:00
vid_0020,UC_civique_002,CiviqueMontréal,youtube,La crise du logement à Montréal expliquée [20],In this video we discuss: la crise du logement à montréal expliquée [20],fr,2025-10-30 00:00:51.508006+00:00,248065,9096,1468,1262,False,2026-04-30 00:00:51.508006+00:00
vid_0021,UC_policy_001,PolicyPulse,youtube,Immigration Policy Deep Dive [21],In this video we discuss: immigration policy deep dive [21],en,2025-09-12 00:00:51.508006+00:00,181225,2924,640,1104,False,2026-04-30 00:00:51.508006+00:00
vid_0022,UC_policy_001,PolicyPulse,youtube,Free Speech Debate on Campus [22],In this video we discuss: free speech debate on campus [22],en,2025-12-17 00:00:51.508006+00:00,247785,7089,3617,1638,False,2026-04-30 00:00:51.508006+00:00
vid_0023,UC_civique_002,CiviqueMontréal,youtube,Droits linguistiques : où en est-on? [23],In this video we discuss: droits linguistiques : où en est-on? [23],fr,2025-07-20 00:00:51.508006+00:00,358586,14865,1986,492,False,2026-04-30 00:00:51.508006+00:00
vid_0024,UC_policy_001,PolicyPulse,youtube,Breaking Down the Federal Budget 2025 [24],In this video we discuss: breaking down the federal budget 2025 [24],en,2025-11-18 00:00:51.508006+00:00,64224,1552,383,1627,False,2026-04-30 00:00:51.508006+00:00
vid_0025,UC_policy_001,PolicyPulse,youtube,Why Young Canadians Are Disengaged From Politics [25],In this video we discuss: why young canadians are disengaged from politics [25],en,2025-10-01 00:00:51.508006+00:00,88798,6212,1053,998,False,2026-04-30 00:00:51.508006+00:00
